0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,72,0.012025,0.140693,0.021781,0.013051,0.00964,0.060818,0.051598,0.044879,0.062083,0.042321,0.018964,10.75436,0.002435,0.003225,0.00366,0.004392,0.273293,0.038815,0.045834,0.008286,0.046997,0.370829,0.048488,0.135081,0.255779,0.0062,0.075678,0.922148,1.311079,0.01401,0.027259,0.039522,0.27122,0.874343,0.010389,0.005556,0.03945,0.081995,0.126304,0.021405,0.047602,0.040637,0.048018,0.040363,0.047387,0.005671,0.032936,0.020866,0.157126,0.019715,0.084452,0.205996,0.029235,0.032254,0.005477,0.19872,0.081516,0.044916,0.00517,,,0.001477,0.002096,0.002809
-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,36,0.023474,0.272459,0.03555,0.025341,0.015437,0.085151,0.064805,0.052059,0.089058,0.05999,0.021917,9.553126,0.003268,0.001933,0.003365,0.00693,0.257985,0.052219,0.093764,0.007617,0.093588,0.39628,0.072247,0.135524,0.244313,0.008854,0.102593,1.855917,2.637941,0.023837,0.047035,0.060194,0.45319,1.752077,0.012892,0.006941,0.074354,0.149845,0.221262,0.041173,0.072158,0.082849,0.092041,0.082679,0.072084,0.010363,0.060806,0.037923,0.176605,0.036344,0.058376,0.077472,0.057469,0.063438,0.009012,0.395034,0.116544,0.10146,0.008154,,,0.001429,0.002392,0.005136
-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,32,0.026297,0.304815,0.039685,0.028218,0.016851,0.106425,0.066689,0.05233,0.086209,0.074912,0.022674,8.761786,0.003563,0.001577,0.003198,0.00747,0.250453,0.06055,0.104974,0.00749,0.105038,0.29466,0.080878,0.136522,0.271155,0.010765,0.119999,2.056835,2.91725,0.027052,0.052538,0.067014,0.504365,1.951308,0.013728,0.007897,0.082253,0.169028,0.239996,0.04562,0.080139,0.093393,0.103578,0.09333,0.080416,0.011746,0.06813,0.042605,0.202299,0.040437,0.045747,0.065726,0.063611,0.070239,0.009907,0.443686,0.138506,0.10527,0.008731,,,0.001376,0.002357,0.005588
-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,18,0.022013,0.260545,0.035129,0.037533,0.015856,0.098039,0.056216,0.054036,0.085295,0.062556,0.02076,4.660863,0.00319,0.001301,0.002821,0.007073,0.281702,0.052622,0.087475,0.011028,0.08735,0.401458,0.070352,0.136837,0.257331,0.010026,0.100759,0.512251,0.670914,0.038331,0.022709,0.058225,0.43705,0.319799,0.010095,0.007956,0.063203,0.141648,0.211831,0.016569,0.069637,0.079169,0.086109,0.078652,0.069404,0.011785,0.067649,0.043211,0.177777,0.035999,0.029365,0.029084,0.084159,0.084039,0.009547,0.349063,0.120133,0.096834,0.012552,,,0.00171,0.002416,0.004899
-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,16,0.025142,0.291951,0.039609,0.042194,0.0176,0.111207,0.060491,0.049242,0.103637,0.078355,0.024249,4.619005,0.003227,0.001297,0.002991,0.007516,0.25753,0.061725,0.099797,0.011969,0.099924,0.394164,0.080722,0.138621,0.269639,0.010983,0.118523,0.549964,0.736581,0.043349,0.023303,0.06576,0.503192,0.366485,0.009815,0.008434,0.070318,0.16183,0.23877,0.017324,0.07892,0.090633,0.099487,0.090014,0.078686,0.013789,0.074473,0.047781,0.203377,0.040279,0.027254,0.023465,0.092883,0.093177,0.010493,0.392454,0.139577,0.106602,0.013921,,,0.001786,0.002179,0.005464
-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,8,0.06129,0.566291,0.085824,0.085525,0.03791,0.2989,0.13108,0.129585,0.1808,0.206249,0.05435,3.739255,0.005656,0.001309,0.006329,0.013907,0.338696,0.171371,0.267934,0.022397,0.271846,0.384389,0.229551,0.225748,0.413327,0.025397,0.329273,1.097335,1.472769,0.07964,0.035005,0.1824,1.547142,0.729795,0.008696,0.014886,0.130029,0.406589,0.5902,0.031864,0.22496,0.239108,0.232228,0.235831,0.226597,0.030084,0.14749,0.096277,0.430847,0.080874,0.018235,0.009425,0.185301,0.185499,0.021117,0.783493,0.357465,0.205287,0.028611,,,0.002937,0.005225,0.013197
-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,4,0.116132,1.124472,0.145314,0.170085,0.075471,0.450236,0.270958,0.270916,0.345864,0.305054,0.107458,3.902464,0.011133,0.002449,0.012402,0.027642,0.465292,0.279223,0.513563,0.044394,0.522407,0.637047,0.387197,0.399533,0.67198,0.041223,0.537099,2.222182,2.94602,0.158475,0.073673,0.306732,2.982204,1.443753,0.0166,0.029138,0.249582,0.797363,1.145504,0.066859,0.387787,0.468227,0.447129,0.454253,0.384959,0.05725,0.288693,0.192589,0.735417,0.159846,0.022762,0.012885,0.369746,0.371159,0.0412,1.565115,0.597796,0.411112,0.056409,,,0.005846,0.01081,0.026001
-0.43900055,-1.717612,0.05920218,1.8229514,1.4015266,-0.3442107,0.025951298,-0.78278667,1.9025989,-0.2820386,1,0.428987,0.420312,0.559196,0.655448,0.278608,1.623717,1.04501,1.052016,1.265667,1.118899,0.437501,0.043785,0.043818,0.009234,0.047393,0.109378,1.657176,1.008816,1.860806,0.175592,1.863353,2.601325,1.412196,1.706718,2.470407,0.153632,1.943946,8.779241,11.35095,0.598613,0.283253,1.220838,10.92627,5.757841,0.067276,0.108332,0.977083,2.947127,4.300574,0.267602,1.395339,1.671335,1.618309,1.63873,1.380386,0.230291,1.187073,0.833038,2.765347,0.492824,0.036221,0.036198,1.483265,1.484006,0.168401,0.550881,2.238714,1.689615,0.178803,2.335763,2.846453,0.023514,0.04228,0.101839
